timestamp,can_id,name,dlc,raw_data,RPM,Speed,Coolant,WheelSpeed_FL,WheelSpeed_FR,WheelSpeed_RL,WheelSpeed_RR
1763656471.050003,0x100,EngineData,8,0106036E00000000,134148,183,-40,,,,
1763656471.050686,0x200,WheelSpeeds,8,0303030200000000,,,,129,129,129,0
1763656471.1541746,0x100,EngineData,8,012C066E00000000,153612,55,-40,,,,
1763656471.154231,0x200,WheelSpeeds,8,0505060600000000,,,,130,131,3,0
1763656471.2568047,0x100,EngineData,8,0151096E00000000,172560,183,-40,,,,
1763656471.2571645,0x200,WheelSpeeds,8,0909090900000000,,,,132,132,132,128
1763656471.360736,0x100,EngineData,8,01770C6E00000000,192024,55,-40,,,,
1763656471.3613663,0x200,WheelSpeeds,8,0B0B0B0B00000000,,,,133,133,133,128
1763656471.4630485,0x100,EngineData,8,019C0F6E00000000,210972,183,-40,,,,
1763656471.4632473,0x200,WheelSpeeds,8,0F0F0E0D00000000,,,,135,135,6,128
1763656471.5645385,0x100,EngineData,8,01C2126E00000000,230436,55,-40,,,,
1763656471.564676,0x200,WheelSpeeds,8,1112111100000000,,,,137,8,136,128
1763656471.6695206,0x100,EngineData,8,01E7156E00000000,249384,183,-40,,,,
1763656471.669726,0x200,WheelSpeeds,8,1414141300000000,,,,10,10,9,128
1763656471.774697,0x100,EngineData,8,020D186E00000000,6704,55,-40,,,,
1763656471.7752836,0x200,WheelSpeeds,8,1818171800000000,,,,12,11,140,0
1763656471.8751137,0x100,EngineData,8,02321B6E00000000,25652,183,-40,,,,
1763656471.8764887,0x200,WheelSpeeds,8,1A1A1C1A00000000,,,,13,14,13,0
1763656471.9805727,0x100,EngineData,8,02581E6E00000000,45116,55,-40,,,,
1763656471.9808047,0x200,WheelSpeeds,8,1D1E1E1D00000000,,,,143,15,14,128
1763656472.0851605,0x100,EngineData,8,027D216E00000000,64064,183,-40,,,,
1763656472.085361,0x200,WheelSpeeds,8,2121212100000000,,,,144,144,144,128
1763656472.187471,0x100,EngineData,8,02A3246E00000000,83528,55,-40,,,,
1763656472.1878903,0x200,WheelSpeeds,8,2324242400000000,,,,146,18,18,0
1763656472.29012,0x100,EngineData,8,02C8276E00000000,102476,183,-40,,,,
1763656472.2902954,0x200,WheelSpeeds,8,2726272800000000,,,,147,19,148,0
1763656472.394274,0x100,EngineData,8,02EE2A6E00000000,121940,55,-40,,,,
1763656472.3944538,0x200,WheelSpeeds,8,292A2A2900000000,,,,149,21,20,128
1763656472.4954746,0x100,EngineData,8,03132D6E00000000,140888,183,-40,,,,
1763656472.4956214,0x200,WheelSpeeds,8,2D2C2D2C00000000,,,,150,22,150,0
1763656472.5960991,0x100,EngineData,8,0339306E00000000,160352,55,-40,,,,
1763656472.5967398,0x200,WheelSpeeds,8,302F303100000000,,,,23,152,24,128
1763656472.7015824,0x100,EngineData,8,035E336E00000000,179300,183,-40,,,,
1763656472.7017965,0x200,WheelSpeeds,8,3332323100000000,,,,153,25,24,128
1763656472.8071382,0x100,EngineData,8,0384366E00000000,198764,55,-40,,,,
1763656472.8073654,0x200,WheelSpeeds,8,3536373700000000,,,,155,27,155,128
1763656472.911868,0x100,EngineData,8,03A9396E00000000,217712,183,-40,,,,
1763656472.9119852,0x200,WheelSpeeds,8,38383A3A00000000,,,,28,29,29,0
1763656473.0167842,0x100,EngineData,8,03CF3C6E00000000,237176,55,-40,,,,
1763656473.0169244,0x200,WheelSpeeds,8,3C3C3C3D00000000,,,,30,30,30,128
1763656473.122288,0x100,EngineData,8,03F43F6F00000000,256124,183,88,,,,
1763656473.1224713,0x200,WheelSpeeds,8,3F3E3E3E00000000,,,,159,31,31,0
1763656473.2451508,0x100,EngineData,8,03CF3C6F00000000,237176,55,88,,,,
1763656473.2523441,0x200,WheelSpeeds,8,3C3C3A3B00000000,,,,30,29,29,128
1763656473.3506343,0x100,EngineData,8,03A9396E00000000,217712,183,-40,,,,
1763656473.3524537,0x200,WheelSpeeds,8,3839373800000000,,,,28,155,156,0
1763656473.4511073,0x100,EngineData,8,0384366E00000000,198764,55,-40,,,,
1763656473.4529073,0x200,WheelSpeeds,8,3636353600000000,,,,27,26,155,0
1763656473.5524974,0x100,EngineData,8,035E336E00000000,179300,183,-40,,,,
1763656473.5537713,0x200,WheelSpeeds,8,3332333400000000,,,,153,25,154,0
1763656473.65506,0x100,EngineData,8,0339306E00000000,160352,55,-40,,,,
1763656473.6553264,0x200,WheelSpeeds,8,302F2F2F00000000,,,,23,151,151,128
1763656473.757938,0x100,EngineData,8,03132D6E00000000,140888,183,-40,,,,
1763656473.7580996,0x200,WheelSpeeds,8,2D2D2D2B00000000,,,,150,150,149,128
1763656473.860824,0x100,EngineData,8,02EE2A6E00000000,121940,55,-40,,,,
1763656473.8609211,0x200,WheelSpeeds,8,2929292A00000000,,,,148,148,149,0
1763656473.962399,0x100,EngineData,8,02C8276E00000000,102476,183,-40,,,,
1763656473.9625268,0x200,WheelSpeeds,8,2626272700000000,,,,19,19,147,128
1763656474.0636191,0x100,EngineData,8,02A3246E00000000,83528,55,-40,,,,
1763656474.063831,0x200,WheelSpeeds,8,2424252300000000,,,,18,18,145,128
1763656474.1680653,0x100,EngineData,8,027D216E00000000,64064,183,-40,,,,
1763656474.1694677,0x200,WheelSpeeds,8,2020201F00000000,,,,16,16,15,128
1763656474.2701552,0x100,EngineData,8,02581E6E00000000,45116,55,-40,,,,
1763656474.2738712,0x200,WheelSpeeds,8,1D1E1D1E00000000,,,,143,14,143,0
1763656474.3714468,0x100,EngineData,8,02321B6E00000000,25652,183,-40,,,,
1763656474.376787,0x200,WheelSpeeds,8,1B1A1C1900000000,,,,141,14,12,128
1763656474.4725828,0x100,EngineData,8,020D186E00000000,6704,55,-40,,,,
1763656474.4807441,0x200,WheelSpeeds,8,1818171700000000,,,,12,11,139,128
1763656474.5729072,0x100,EngineData,8,01E7156E00000000,249384,183,-40,,,,
1763656474.5828886,0x200,WheelSpeeds,8,1514151400000000,,,,138,10,138,0
1763656474.67384,0x100,EngineData,8,01C2126E00000000,230436,55,-40,,,,
1763656474.6862466,0x200,WheelSpeeds,8,1212111100000000,,,,9,8,136,128
1763656474.7787123,0x100,EngineData,8,019C0F6E00000000,210972,183,-40,,,,
1763656474.7870548,0x200,WheelSpeeds,8,0E0F0E0F00000000,,,,7,135,7,128
1763656474.8827732,0x100,EngineData,8,01770C6E00000000,192024,55,-40,,,,
1763656474.8890858,0x200,WheelSpeeds,8,0B0B0A0B00000000,,,,133,133,5,128
1763656474.9884932,0x100,EngineData,8,0151096E00000000,172560,183,-40,,,,
1763656474.9899497,0x200,WheelSpeeds,8,0908090800000000,,,,132,4,132,0
1763656475.0930684,0x100,EngineData,8,012C066E00000000,153612,55,-40,,,,
1763656475.093936,0x200,WheelSpeeds,8,0605060400000000,,,,2,131,2,0
1763656475.1976762,0x100,EngineData,8,0106036E00000000,134148,183,-40,,,,
1763656475.1979053,0x200,WheelSpeeds,8,0203020200000000,,,,1,129,1,0
