timestamp,can_id,name,dlc,raw_data,RPM,Speed,Coolant,WheelSpeed_FL,WheelSpeed_FR,WheelSpeed_RL,WheelSpeed_RR
1763656685.0834389,0x100,EngineData,8,02C8277400000000,102476,186,-40,,,,
1763656685.0879645,0x200,WheelSpeeds,8,2726262600000000,,,,147,19,19,0
1763656685.1877255,0x100,EngineData,8,02EE2A7400000000,121940,58,-40,,,,
1763656685.1899705,0x200,WheelSpeeds,8,2A292B2A00000000,,,,20,149,149,0
1763656685.290499,0x100,EngineData,8,03132D7400000000,140888,186,-40,,,,
1763656685.2905724,0x200,WheelSpeeds,8,2D2D2C2E00000000,,,,150,150,23,0
1763656685.3935378,0x100,EngineData,8,0339307400000000,160352,58,-40,,,,
1763656685.3951619,0x200,WheelSpeeds,8,2F30302F00000000,,,,152,24,23,128
1763656685.4989126,0x100,EngineData,8,035E337400000000,179300,186,-40,,,,
1763656685.5006735,0x200,WheelSpeeds,8,3233323200000000,,,,25,153,25,0
1763656685.6032968,0x100,EngineData,8,0384367400000000,198764,58,-40,,,,
1763656685.6034591,0x200,WheelSpeeds,8,3535353500000000,,,,154,154,154,128
1763656685.706976,0x100,EngineData,8,03A9397400000000,217712,186,-40,,,,
1763656685.708132,0x200,WheelSpeeds,8,3838393800000000,,,,28,28,156,0
1763656685.8111393,0x100,EngineData,8,03CF3C7400000000,237176,58,-40,,,,
1763656685.8130019,0x200,WheelSpeeds,8,3B3C3B3C00000000,,,,158,29,158,0
1763656685.9151685,0x100,EngineData,8,03F43F7400000000,256124,186,-40,,,,
1763656685.917037,0x200,WheelSpeeds,8,3F3F3D3E00000000,,,,159,158,159,0
1763656686.019919,0x100,EngineData,8,03CF3C7400000000,237176,58,-40,,,,
1763656686.0206282,0x200,WheelSpeeds,8,3C3B3C3B00000000,,,,29,158,29,128
1763656686.1246095,0x100,EngineData,8,03A9397400000000,217712,186,-40,,,,
1763656686.1248128,0x200,WheelSpeeds,8,3839383A00000000,,,,28,156,29,0
1763656686.2293973,0x100,EngineData,8,0384367400000000,198764,58,-40,,,,
1763656686.2295725,0x200,WheelSpeeds,8,3535363700000000,,,,154,155,27,128
1763656686.334471,0x100,EngineData,8,035E337400000000,179300,186,-40,,,,
1763656686.3346355,0x200,WheelSpeeds,8,3332323300000000,,,,153,25,25,128
1763656686.4372864,0x100,EngineData,8,0339307400000000,160352,58,-40,,,,
1763656686.4374754,0x200,WheelSpeeds,8,302F2E3100000000,,,,23,151,24,128
1763656686.542299,0x100,EngineData,8,03132D7400000000,140888,186,-40,,,,
1763656686.54253,0x200,WheelSpeeds,8,2C2D2B2D00000000,,,,22,149,150,128
