timestamp,can_id,name,dlc,raw_data,RPM,Speed,Coolant,WheelSpeed_FL,WheelSpeed_FR,WheelSpeed_RL,WheelSpeed_RR
1763619156.6233435,0x200,WheelSpeeds,8,1415141600000000,,,,10,138,11,0
1763619156.7256777,0x100,EngineData,8,019C0F7200000000,210972,185,-40,,,,
1763619156.7257915,0x200,WheelSpeeds,8,1211101000000000,,,,8,136,8,0
1763619156.8435056,0x100,EngineData,8,01770C7200000000,192024,57,-40,,,,
1763619156.8435764,0x200,WheelSpeeds,8,0F0F0F0E00000000,,,,135,135,135,0
1763619156.9454846,0x200,WheelSpeeds,8,0B0B0A0C00000000,,,,133,133,6,0
1763619156.945699,0x100,EngineData,8,0151097200000000,172560,185,-40,,,,
1763619157.046579,0x100,EngineData,8,012C067200000000,153612,57,-40,,,,
1763619157.0475452,0x200,WheelSpeeds,8,0809080700000000,,,,4,132,3,128
1763619157.1483603,0x100,EngineData,8,0106037200000000,134148,185,-40,,,,
1763619157.1489992,0x200,WheelSpeeds,8,0606060600000000,,,,3,3,3,0
1763619157.2504008,0x200,WheelSpeeds,8,0303020300000000,,,,129,129,1,128
1763619157.2506685,0x100,EngineData,8,00E1007200000000,115200,57,-40,,,,
1763619157.3545067,0x100,EngineData,8,0106037200000000,134148,185,-40,,,,
1763619157.3546293,0x200,WheelSpeeds,8,0000000000000000,,,,0,0,0,0
1763619157.4569333,0x200,WheelSpeeds,8,0302020100000000,,,,129,1,0,128
1763619157.4577599,0x100,EngineData,8,012C067200000000,153612,57,-40,,,,
1763619157.5601966,0x100,EngineData,8,0151097200000000,172560,185,-40,,,,
1763619157.5603201,0x200,WheelSpeeds,8,0605050700000000,,,,2,130,131,128
1763619157.660903,0x100,EngineData,8,01770C7200000000,192024,57,-40,,,,
1763619157.661367,0x200,WheelSpeeds,8,09080A0900000000,,,,132,5,4,128
1763619157.7665951,0x100,EngineData,8,019C0F7200000000,210972,185,-40,,,,
1763619157.7667465,0x200,WheelSpeeds,8,0C0C0D0D00000000,,,,6,6,134,128
1763619157.8707478,0x100,EngineData,8,01C2127200000000,230436,57,-40,,,,
1763619157.8709908,0x200,WheelSpeeds,8,0E0F0E0F00000000,,,,7,135,7,128
1763619157.975645,0x100,EngineData,8,01E7157200000000,249384,185,-40,,,,
1763619157.9758224,0x200,WheelSpeeds,8,1112101000000000,,,,137,8,8,0
1763619158.0767615,0x100,EngineData,8,020D187200000000,6704,57,-40,,,,
1763619158.0768733,0x200,WheelSpeeds,8,1515161500000000,,,,138,139,10,128
1763619158.1800296,0x100,EngineData,8,02321B7200000000,25652,185,-40,,,,
1763619158.180081,0x200,WheelSpeeds,8,1818181800000000,,,,12,12,12,0
1763619158.281907,0x200,WheelSpeeds,8,1A1A1C1C00000000,,,,13,14,14,0
1763619158.283432,0x100,EngineData,8,02581E7200000000,45116,57,-40,,,,
1763619158.3832486,0x200,WheelSpeeds,8,1D1D1F1C00000000,,,,142,143,142,0
1763619158.383931,0x100,EngineData,8,027D217200000000,64064,185,-40,,,,
1763619158.488099,0x100,EngineData,8,02A3247200000000,83528,57,-40,,,,
1763619158.4894693,0x200,WheelSpeeds,8,2121201F00000000,,,,144,144,15,128
1763619158.5899217,0x100,EngineData,8,02C8277200000000,102476,185,-40,,,,
1763619158.591835,0x200,WheelSpeeds,8,2324232200000000,,,,146,17,145,0
1763619158.695716,0x100,EngineData,8,02EE2A7200000000,121940,57,-40,,,,
1763619158.6960106,0x200,WheelSpeeds,8,2727282700000000,,,,147,148,19,128
1763619158.7972963,0x200,WheelSpeeds,8,2A292A2A00000000,,,,20,149,21,0
1763619158.7980978,0x100,EngineData,8,03132D7200000000,140888,185,-40,,,,
1763619158.9019568,0x100,EngineData,8,0339307200000000,160352,57,-40,,,,
1763619158.9021916,0x200,WheelSpeeds,8,2D2D2C2C00000000,,,,150,150,22,0
1763619159.0059488,0x100,EngineData,8,035E337300000000,179300,185,88,,,,
1763619159.0068092,0x200,WheelSpeeds,8,302F303100000000,,,,23,152,24,128
1763619159.10894,0x100,EngineData,8,0384367300000000,198764,57,88,,,,
1763619159.1091936,0x200,WheelSpeeds,8,3332323300000000,,,,153,25,25,128
1763619159.2109556,0x200,WheelSpeeds,8,3635363500000000,,,,26,155,26,128
1763619159.2114763,0x100,EngineData,8,03A9397300000000,217712,185,88,,,,
1763619159.3160071,0x100,EngineData,8,03CF3C7300000000,237176,57,88,,,,
1763619159.3162365,0x200,WheelSpeeds,8,3938393A00000000,,,,156,28,157,0
1763619159.4217546,0x100,EngineData,8,03F43F7300000000,256124,185,88,,,,
1763619159.4220068,0x200,WheelSpeeds,8,3B3B3D3C00000000,,,,157,158,158,0
1763619159.525643,0x100,EngineData,8,03CF3C7300000000,237176,57,88,,,,
